Category: All categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,tempat wisata jakarta: (Indonesia),wisata jakarta: (Indonesia),liburan ke jakarta: (Indonesia),hotel jakarta: (Indonesia),hotel murah jakarta: (Indonesia),penginapan jakarta: (Indonesia),booking hotel jakarta: (Indonesia),staycation jakarta: (Indonesia),tiket pesawat ke jakarta: (Indonesia),harga tiket pesawat ke jakarta: (Indonesia),penerbangan ke jakarta: (Indonesia),bandara soekarno hatta: (Indonesia),jadwal penerbangan jakarta: (Indonesia),tiket kereta ke jakarta: (Indonesia),kereta ke jakarta: (Indonesia),jadwal kereta ke jakarta: (Indonesia),bus ke jakarta: (Indonesia),travel ke jakarta: (Indonesia),tol menuju jakarta: (Indonesia),kapal ke jakarta: (Indonesia),pelabuhan muara angke: (Indonesia),wisata pulau seribu: (Indonesia),kuliner jakarta: (Indonesia),tempat makan jakarta: (Indonesia),cafe jakarta: (Indonesia),mall jakarta: (Indonesia),event jakarta: (Indonesia),blok m: (Indonesia),grand indonesia: (Indonesia),ancol jakarta: (Indonesia),monas: (Indonesia),tmii: (Indonesia),kota tua jakarta: (Indonesia),dufan: (Indonesia),ragunan: (Indonesia),pulau seribu: (Indonesia)
10/13/2025,0,8,0,73,0,0,0,0,79,0,0,75,0,11,42,0,58,29,0,31,0,0,0,16,50,14,3,54,26,0,15,6,0,13,14,100
10/14/2025,0,6,0,77,0,0,0,0,54,0,0,71,8,9,34,0,42,0,0,24,0,14,0,0,49,13,3,55,24,2,16,6,0,10,13,87
10/15/2025,0,9,0,81,0,0,0,0,68,0,0,75,0,0,30,0,44,0,0,22,0,0,0,21,54,13,3,55,29,3,16,6,0,11,11,67
10/16/2025,0,12,0,81,0,0,0,0,81,0,9,76,0,9,35,0,39,0,0,32,0,0,0,14,61,10,2,59,28,3,17,5,0,12,12,64
10/17/2025,0,10,0,75,0,0,0,0,53,0,13,88,0,0,51,0,25,0,0,0,0,0,0,18,74,16,2,72,37,0,28,8,0,15,15,39
10/18/2025,0,9,0,79,0,0,0,0,53,0,10,83,0,0,39,0,34,0,0,0,0,0,21,21,68,15,0,85,46,3,21,8,0,19,20,62
10/19/2025,0,11,0,61,0,0,0,0,70,0,0,71,0,0,40,0,54,24,0,25,0,0,27,0,72,16,4,73,40,0,22,9,3,16,20,51
10/20/2025,0,7,0,83,0,0,0,0,56,0,15,75,0,10,45,0,47,0,0,0,0,0,0,0,44,10,5,54,26,2,17,7,3,17,12,79
10/21/2025,0,9,0,75,0,0,0,0,71,0,0,83,9,0,26,0,41,0,0,30,0,0,16,0,61,13,6,54,24,2,14,7,2,12,12,75
10/22/2025,0,7,0,83,0,43,0,0,62,0,10,69,0,0,41,0,36,27,0,23,0,0,0,14,56,12,4,55,28,2,17,7,0,12,12,68
10/23/2025,0,9,0,75,0,0,0,0,55,0,13,68,0,0,38,0,33,29,0,21,15,0,0,0,69,13,4,52,25,3,17,7,2,11,11,78
10/24/2025,0,10,0,85,0,0,0,0,88,0,0,73,0,0,30,0,34,24,0,0,0,0,0,23,56,16,3,63,35,3,14,9,0,11,12,61
10/25/2025,0,10,0,68,0,0,0,0,74,56,11,77,0,9,32,0,57,29,0,0,0,0,0,0,72,18,3,93,45,3,15,10,2,14,22,63
10/26/2025,0,6,0,57,0,47,0,0,48,0,13,66,13,0,36,0,55,0,0,0,0,0,16,0,53,14,4,68,38,3,17,9,3,14,14,59
10/27/2025,0,9,0,72,0,0,0,0,64,0,8,80,10,0,29,0,25,0,0,25,0,0,0,18,52,16,3,57,26,3,15,10,2,13,10,67
10/28/2025,0,9,0,78,0,0,42,0,69,0,0,65,0,11,39,0,52,0,0,0,0,0,0,14,51,11,4,56,28,2,13,8,2,13,11,61
10/29/2025,0,7,0,100,4,0,0,0,67,0,0,79,0,0,45,0,49,28,0,24,0,0,0,0,60,8,5,60,30,5,15,7,0,12,8,72
10/30/2025,0,8,0,84,0,0,0,0,70,0,13,77,10,0,34,0,35,0,0,0,0,0,0,0,57,16,5,64,33,4,21,6,2,12,11,70
10/31/2025,0,9,0,91,0,0,0,0,75,0,13,80,0,0,38,0,62,23,0,0,0,0,0,0,69,16,3,74,41,4,14,6,3,14,11,48
11/1/2025,0,6,0,80,0,65,0,0,68,0,0,73,0,10,40,0,47,27,0,0,0,0,20,0,74,17,5,92,52,3,14,8,3,16,15,0
11/2/2025,0,6,0,81,0,0,0,0,65,0,11,66,0,0,37,0,40,0,0,26,0,0,0,28,53,18,2,94,45,0,14,9,0,13,17,65
11/3/2025,0,11,0,84,5,0,0,0,88,0,10,71,0,0,30,0,51,21,0,31,0,0,0,0,30,14,4,66,31,0,10,9,0,14,10,70
11/4/2025,0,6,0,69,0,0,0,0,64,0,13,68,0,0,35,0,56,0,0,21,0,0,14,0,48,14,3,59,28,2,13,6,2,15,9,67
