,TPK DKI JAKARTA,Data Inflasi,monthly_hotel_accomodation_gt,monthly_air_transportation_gt,monthly_sea_transportation_gt,monthly_land_transportation_gt,monthly_kurs_jual,monthly_culinary_shopping_gt,monthly_vacation_venue_gt,monthly_holiday_count,Kunjungan Wisnus DKI Jakarta,is_national_holiday,is_educational_holiday,is_covid
2024-07-31,54.23,2.13,22.312580645161287,10.744516129032258,0.6987096774193549,6.033225806451613,16337.28129032258,52.501935483870966,24.738064516129032,13,6306388,1,1,0
2024-08-31,53.28,2.12,20.25709677419355,10.336451612903225,0.4661290322580645,5.241935483870968,15877.670967741935,48.50806451612903,23.53870967741935,9,6859892,1,0,0
2024-09-30,53.47,1.8399999999999999,20.133333333333333,10.980333333333334,0.4436666666666667,5.253666666666666,15401.054,47.901666666666664,25.226999999999997,10,8325083,1,0,0
2024-10-31,59.78,1.71,18.873548387096776,9.423548387096774,0.5390322580645162,5.556129032258065,15621.235483870967,45.04290322580645,27.31483870967742,8,8564371,0,0,0
2024-11-30,60.53,1.55,18.508666666666667,9.325,0.516,5.337666666666666,15893.035333333333,49.373666666666665,19.236,9,8489690,0,0,0
2024-12-31,62.05,1.5699999999999998,21.748709677419356,10.574838709677419,0.7941935483870968,6.333225806451613,16127.136451612903,57.63967741935484,27.14032258064516,16,8883921,1,1,0
2025-01-31,53.5,0.76,17.82967741935484,10.476774193548389,0.7035483870967741,6.622258064516129,16334.653870967742,53.32225806451613,23.901935483870968,14,7771684,1,1,0
2025-02-28,59.07,-0.09,17.025714285714283,9.483214285714286,0.7714285714285715,5.251071428571429,16410.28607142857,44.879999999999995,17.41821428571429,10,7942806,0,1,0
2025-03-31,38.26,1.03,14.074838709677419,9.39774193548387,0.7248387096774194,5.2135483870967745,16554.199032258064,48.41290322580645,12.92451612903226,15,7460546,1,1,0
2025-04-30,46.86,1.95,14.443333333333333,10.270666666666667,0.764,6.803333333333333,16848.391666666666,50.788000000000004,23.888666666666666,14,8000591,1,0,0
2025-05-31,51.31,1.6,14.801935483870968,7.791935483870967,0.4890322580645161,5.835806451612903,16518.66612903226,47.810645161290324,21.02709677419355,13,8247240,1,0,0
2025-06-30,52.35,1.87,15.852666666666666,8.964666666666666,0.9436666666666667,6.581,16385.153666666665,49.665333333333336,21.587,13,8508931,1,1,0
2025-07-31,55.91,2.37,17.285806451612903,9.362580645161291,0.9112903225806451,6.298387096774194,16354.268064516129,50.307096774193546,20.289677419354838,17,8604137,0,1,0
